"","name"
"1","Agonopsis vulsa"
"2","Ammodytes personatus"
"3","Anoplarchus"
"4","Anoplopoma fimbria"
"5","Apodichthys flavidus"
"6","Artedius spp."
"7","Aulorhynchus flavidus"
"8","Blepsias bilobus"
"9","Blepsias cirrhosus"
"10","Brachyistius frenatus"
"11","Chitonotus pugetensis"
"12","Citharichthys sordidus"
"13","Citharichthys stigmaeus"
"14","Clinocottus acuticeps"
"15","Clinocottus embryum"
"16","Clupea pallasii"
"17","Cottus"
"18","Cottus_Leptocottus"
"19","Cryptacanthodes giganteus"
"20","Cymatogaster aggregata"
"21","Embiotoca lateralis"
"22","Enophrys bison"
"23","Gadus"
"24","Gasterosteus aculeatus"
"25","Gobiesox maeandricus"
"26","Hemilepidotus spp."
"27","Hexagrammos"
"28","Hexagrammos decagrammus"
"29","Hippoglossus stenolepis"
"30","Hypomesus"
"31","Lepidogobius lepidus"
"32","Lepidopsetta"
"33","Liparis mucosus"
"34","Lumpenus sagitta"
"35","Microgadus proximus"
"36","Myoxocephalus"
"37","Nautichthys oculofasciatus"
"38","Oligocottus maculosus"
"39","Oligocottus snyderi"
"40","Oncorhynchus"
"41","Oncorhynchus clarkii"
"42","Oncorhynchus tshawytscha"
"43","Ophiodon elongatus"
"44","Oxylebius pictus"
"45","Pholis laeta"
"46","Phytichthys chirus"
"47","Pleuronectidae 1"
"48","Pleuronectidae 2"
"49","Pleuronectidae 3"
"50","Pleuronichthys coenosus"
"51","Podothecus accipenserinus"
"52","Rhamphocottus richardsonii"
"53","Rhinogobiops nicholsii"
"54","Ronquilus jordani"
"55","Salvelinus"
"56","Scorpaenichthys marmoratus"
"57","Sebastes 1"
"58","Sebastes 2"
"59","Sebastes 3"
"60","Sebastolobus"
"61","Stichaeidae"
"62","Stichaeus punctatus"
"63","Synchirus gilli"
"64","Syngnathus leptorhynchus"
"65","Xiphister"
"66","Zaprora silenus"
"67","Mallotus villosus"
"68","Pallasina barbata"
"69","Trichodon trichodon"
"70","Enophrys lucasi"
